,Mar 2006,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Sales +,18,50,54,55,62,66,67,71,91
Expenses +,9,7,4,7,5,5,5,5,5
Operating Profit,9,43,49,49,57,60,62,66,86
OPM %,49%,86%,92%,88%,92%,92%,93%,93%,95%
Other Income +,12,309,9,12,51,56,27,21,24
Interest,1,3,27,30,29,27,27,26,36
Depreciation,6,3,3,3,3,2,2,2,2
Profit before tax,15,346,28,28,76,87,61,58,73
Tax %,12%,21%,23%,19%,20%,22%,13%,10%,23%
Net Profit,13,273,22,23,60,67,53,52,56
EPS in Rs,3.60,77.17,6.13,6.36,17.03,19.04,14.93,14.80,15.82
