,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,456","1,513","1,521","1,470","1,640","1,524","1,456","2,018","2,186","1,758","1,892","2,698","3,127"
Expenses +,"1,293","1,393","1,402","1,323","1,471","1,346","1,311","1,782","1,949","1,588","1,638","2,300","2,729"
Operating Profit,162,120,118,147,169,178,145,237,237,170,254,398,398
OPM %,11%,8%,8%,10%,10%,12%,10%,12%,11%,10%,13%,15%,13%
Other Income +,6,5,8,5,5,9,8,17,11,11,11,5,"1,197"
Interest,38,53,82,73,71,65,35,35,39,41,29,42,57
Depreciation,40,42,56,61,51,36,33,34,38,46,70,76,78
Profit before tax,91,30,-12,18,52,86,85,184,172,94,166,285,"1,459"
Tax %,22%,36%,0%,-18%,53%,35%,23%,30%,36%,2%,15%,24%,
Net Profit,71,19,-12,22,24,56,65,129,110,92,141,217,"1,099"
EPS in Rs,4.35,1.19,-0.77,1.34,1.35,3.12,3.62,7.14,6.12,5.11,7.80,12.04,61.00
