,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,636,659,772,"1,083","1,753","1,775",833,794,622,334,"1,148","1,278","1,155"
Expenses +,554,604,620,850,"1,483","1,535",794,790,626,380,"1,026","1,176","1,100"
Operating Profit,82,54,152,234,270,240,39,4,-4,-45,122,102,56
OPM %,13%,8%,20%,22%,15%,14%,5%,1%,-1%,-14%,11%,8%,5%
Other Income +,-504,3,-21,6,-225,24,25,20,-265,487,93,112,92
Interest,53,57,55,30,20,22,17,19,20,31,60,58,48
Depreciation,26,28,26,26,35,44,48,39,33,28,45,58,64
Profit before tax,-501,-28,50,184,-9,198,-1,-33,-322,382,110,98,35
Tax %,-20%,-20%,11%,5%,-315%,23%,"-1,502%",-36%,-2%,-0%,21%,12%,
Net Profit,-602,-34,44,174,-36,162,-19,-45,-327,383,87,87,33
EPS in Rs,-76.22,-4.26,5.32,20.03,-4.19,18.66,-2.17,-5.19,-38.05,44.57,10.06,9.46,4.00
