,Dec 2010,Dec 2011,Dec 2012,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,695","2,550",962,"1,341","1,196","2,861","2,755","2,845","2,178","2,752","3,316","3,070","3,498"
Expenses +,"1,385","2,111",861,"1,567",967,"2,486","2,228","2,448","1,982","2,351","2,779","3,201","3,465"
Operating Profit,310,439,101,-226,229,374,527,398,197,401,537,-131,33
OPM %,18%,17%,10%,-17%,19%,13%,19%,14%,9%,15%,16%,-4%,1%
Other Income +,87,133,959,"3,281",874,63,291,643,303,-30,109,-112,8
Interest,147,195,79,109,47,168,183,196,79,156,150,177,214
Depreciation,64,104,31,56,64,131,126,154,117,174,206,233,244
Profit before tax,186,273,949,"2,890",992,137,509,690,303,42,289,-653,-417
Tax %,24%,14%,11%,39%,15%,31%,12%,1%,-9%,27%,11%,27%,
Net Profit,141,234,847,"1,767",844,95,446,684,330,31,258,-474,-214
EPS in Rs,21.22,38.44,143.92,296.43,141.78,12.15,44.71,74.25,36.25,4.06,29.93,-51.25,-22.90
