,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,1.22,1.67,1.61,0.60,0.00,0.44,1.50
Expenses +,1.29,1.35,1.18,8.71,0.32,0.80,1.93
Operating Profit,-0.07,0.32,0.43,-8.11,-0.32,-0.36,-0.43
OPM %,-5.74%,19.16%,26.71%,"-1,351.67%",,-81.82%,-28.67%
Other Income +,0.61,0.64,0.44,0.30,1.25,0.90,0.77
Interest,0.05,0.01,0.00,0.00,0.00,0.00,0.00
Depreciation,0.22,0.12,0.06,0.03,0.02,0.01,0.00
Profit before tax,0.27,0.83,0.81,-7.84,0.91,0.53,0.34
Tax %,14.81%,14.46%,27.16%,25.64%,23.08%,-1.89%,
Net Profit,0.22,0.71,0.59,-5.82,0.71,0.55,0.33
EPS in Rs,0.71,2.28,1.90,-18.72,2.28,1.77,1.07
