,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,152,161,160,142,148,159,175,189,204,205,81,139,211
Expenses +,111,134,143,121,127,138,155,158,169,174,92,115,151
Operating Profit,41,26,18,21,21,21,20,32,35,31,-11,24,60
OPM %,27%,16%,11%,15%,14%,13%,11%,17%,17%,15%,-14%,17%,28%
Other Income +,2,2,7,-32,4,5,13,9,15,15,1,42,43
Interest,12,16,17,19,16,15,16,16,14,16,16,17,15
Depreciation,14,14,16,14,15,14,16,16,14,19,19,19,18
Profit before tax,17,-2,-9,-44,-6,-3,0,9,21,11,-46,30,69
Tax %,33%,-103%,1%,9%,-17%,-30%,"3,892%",74%,38%,53%,13%,10%,
Net Profit,11,-5,-9,-40,-7,-4,-5,2,13,5,-40,27,58
EPS in Rs,4.49,-0.97,-2.85,-13.77,-1.42,-0.48,-1.67,1.23,4.36,1.79,-11.84,10.71,20.45
