,Mar 2008,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Sales +,59.11,82.98,122.16,152.55,164.01,156.39,139.69,136.47,136.86,118.74,80.80,33.58,26.92
Expenses +,44.81,68.25,94.88,119.17,125.20,117.12,109.37,114.93,112.35,141.34,123.01,49.18,44.41
Operating Profit,14.30,14.73,27.28,33.38,38.81,39.27,30.32,21.54,24.51,-22.60,-42.21,-15.60,-17.49
OPM %,24.19%,17.75%,22.33%,21.88%,23.66%,25.11%,21.71%,15.78%,17.91%,-19.03%,-52.24%,-46.46%,-64.97%
Other Income +,4.97,5.59,-1.15,0.34,2.75,1.95,1.97,2.25,2.80,19.44,0.39,20.31,20.15
Interest,1.75,2.31,6.76,15.56,21.04,22.89,23.11,18.72,15.75,3.42,1.54,1.24,1.18
Depreciation,3.51,2.99,5.53,12.78,12.93,12.84,21.11,20.51,19.46,4.94,2.75,3.06,3.34
Profit before tax,14.01,15.02,13.84,5.38,7.59,5.49,-11.93,-15.44,-7.90,-11.52,-46.11,0.41,-1.86
Tax %,35.47%,41.61%,38.01%,94.05%,61.00%,66.30%,6.12%,1.30%,16.20%,115.36%,-17.65%,-107.32%,
Net Profit,9.04,8.77,8.58,0.32,2.96,1.85,-11.21,-15.24,-6.62,1.77,-54.25,0.86,-1.41
EPS in Rs,3.09,2.99,2.93,0.11,1.01,0.63,-3.83,-5.20,-2.26,0.60,-18.52,0.29,-0.49
