,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,096","1,013","1,218","1,351","1,497","2,047","2,474","1,905","2,662","2,805"
Expenses +,816,664,871,"1,005","1,071","1,469","1,811","1,353","1,933","2,045"
Operating Profit,280,348,347,347,427,578,663,552,729,760
OPM %,26%,34%,29%,26%,28%,28%,27%,29%,27%,27%
Other Income +,127,147,208,210,154,200,268,101,84,96
Interest,2,2,1,14,25,10,10,9,13,7
Depreciation,20,26,37,38,36,38,47,52,66,71
Profit before tax,385,468,518,505,519,730,874,593,735,779
Tax %,32%,33%,34%,33%,31%,33%,28%,25%,27%,
Net Profit,261,312,340,337,357,490,633,444,539,571
EPS in Rs,20.84,24.98,27.09,13.14,13.70,18.78,24.64,17.99,21.49,22.69
