,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Sales +,2.60,2.17,1.37,1.28,0.13,0.07,0.06,0.04,0.01,0.02,0.02,0.05
Expenses +,3.17,2.02,2.09,3.14,1.09,1.50,0.18,0.14,0.14,32.79,0.11,0.12
Operating Profit,-0.57,0.15,-0.72,-1.86,-0.96,-1.43,-0.12,-0.10,-0.13,-32.77,-0.09,-0.07
OPM %,-21.92%,6.91%,-52.55%,-145.31%,-738.46%,"-2,042.86%",-200.00%,-250.00%,"-1,300.00%","-163,850.00%",-450.00%,-140.00%
Other Income +,0.44,0.39,0.39,0.49,0.85,0.43,0.04,0.00,0.00,1.47,0.00,-0.97
Interest,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.24,0.26,0.21,0.21,0.21,0.01,0.01,0.00,0.00,0.00,0.00,0.00
Profit before tax,-0.38,0.27,-0.55,-1.59,-0.32,-1.01,-0.09,-0.10,-0.13,-31.30,-0.09,-1.04
Tax %,-13.16%,29.63%,-18.18%,-11.32%,-46.88%,-10.89%,-55.56%,-50.00%,-107.69%,0.22%,0.00%,0.00%
Net Profit,-0.43,0.19,-0.65,-1.77,-0.47,-1.12,-0.14,-0.14,-0.27,-31.23,-0.09,-1.04
EPS in Rs,-0.74,0.25,-0.75,-2.06,-0.55,-1.30,-0.16,-0.16,-0.31,-36.26,-0.10,-1.21
