,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,121,133,158,148,134,136,139,146,68,127,185
Expenses +,97,101,113,107,97,96,100,104,58,96,132
Operating Profit,24,32,45,41,37,40,38,42,11,30,52
OPM %,20%,24%,28%,28%,28%,30%,28%,29%,16%,24%,28%
Other Income +,1,2,1,3,5,6,5,6,4,6,8
Interest,2,2,2,2,3,2,2,2,1,2,3
Depreciation,2,4,5,6,7,7,9,12,11,12,13
Profit before tax,21,29,39,36,33,37,33,34,2,23,43
Tax %,31%,31%,30%,35%,34%,27%,22%,23%,-17%,23%,
Net Profit,14,20,28,23,21,27,26,26,2,18,33
EPS in Rs,5.43,7.35,9.74,8.10,7.47,9.57,9.11,9.59,0.87,6.50,12.19
