,Dec 2010,Dec 2011,Dec 2012,Dec 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,167.91,143.12,114.06,102.74,98.19,62.89,67.19,66.26,61.87,56.73,59.40,52.40,29.04
Expenses +,117.81,109.11,92.58,80.21,73.43,47.33,61.57,56.65,59.90,51.35,55.29,70.72,55.28
Operating Profit,50.10,34.01,21.48,22.53,24.76,15.56,5.62,9.61,1.97,5.38,4.11,-18.32,-26.24
OPM %,29.84%,23.76%,18.83%,21.93%,25.22%,24.74%,8.36%,14.50%,3.18%,9.48%,6.92%,-34.96%,-90.36%
Other Income +,0.83,6.77,3.06,3.45,1.06,0.79,7.64,0.99,8.64,6.50,6.86,30.12,41.64
Interest,15.15,9.78,10.58,11.19,12.03,7.87,5.94,5.20,6.15,6.83,5.49,2.94,4.37
Depreciation,14.34,12.90,12.33,11.87,13.55,6.70,5.12,4.31,3.76,4.38,3.63,3.61,3.44
Profit before tax,21.44,18.10,1.63,2.92,0.24,1.78,2.20,1.09,0.70,0.67,1.85,5.25,7.59
Tax %,-1.26%,3.37%,28.83%,8.22%,-208.33%,26.40%,-23.64%,-55.05%,52.86%,-5.97%,0.00%,11.81%,
Net Profit,21.71,17.49,1.17,2.68,0.74,1.30,2.72,1.69,0.33,0.71,1.85,4.62,6.97
EPS in Rs,2.94,2.37,0.16,0.36,0.10,0.18,0.37,0.23,0.04,0.10,0.25,0.63,0.95
