,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,346,381,421,396,384,321,299,399,367,138,287,358
Expenses +,290,313,353,348,358,297,285,355,322,143,274,334
Operating Profit,56,68,68,47,26,25,14,45,46,-5,13,24
OPM %,16%,18%,16%,12%,7%,8%,5%,11%,12%,-4%,5%,7%
Other Income +,4,2,4,11,4,3,28,0,1,1,1,1
Interest,12,15,19,12,19,16,13,11,10,15,12,11
Depreciation,12,15,18,20,21,14,14,15,19,28,27,26
Profit before tax,35,39,34,26,-10,-3,15,19,18,-47,-24,-11
Tax %,1%,6%,23%,26%,3%,78%,-10%,-24%,-7%,7%,4%,
Net Profit,35,37,26,19,-10,-1,16,24,19,-43,-23,-11
EPS in Rs,32.31,33.68,24.18,17.46,-8.76,-0.50,14.26,20.51,15.55,-35.88,-18.24,-8.30
