,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,324","1,366","1,025","1,455","1,280","1,303","1,559","2,067","1,414",683,988,"1,118",966
Expenses +,"1,110","1,286","1,051","1,344","1,264","1,322","1,501","2,027","1,440",733,984,"1,101",933
Operating Profit,213,80,-26,111,16,-19,58,40,-26,-50,4,18,33
OPM %,16%,6%,-3%,8%,1%,-1%,4%,2%,-2%,-7%,0%,2%,3%
Other Income +,25,-35,156,-24,-7,18,18,55,16,12,"-1,056",1,1
Interest,103,190,168,163,229,485,47,34,19,20,17,21,23
Depreciation,48,51,65,75,77,146,163,151,133,134,128,85,85
Profit before tax,86,-197,-104,-150,-297,-632,-133,-90,-162,-192,"-1,197",-87,-74
Tax %,41%,40%,-7%,4%,-2%,-4%,0%,0%,0%,0%,0%,0%,
Net Profit,51,-119,-111,-144,-303,-659,-133,-90,-162,-192,"-1,197",-87,-74
EPS in Rs,4.67,-10.81,-9.78,-13.44,-24.81,-57.64,-12.29,-7.56,-13.96,-16.57,-103.40,-7.53,-6.39
