,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Sales +,"1,225","1,667","1,771","2,522",753,301,289,346,583,290,465,518
Expenses +,"1,213","1,617","1,781","2,482",786,283,289,346,577,283,457,518
Operating Profit,12,50,-10,40,-33,17,-0,0,6,7,8,0
OPM %,1%,3%,-1%,2%,-4%,6%,-0%,0%,1%,3%,2%,0%
Other Income +,0,2,3,3,10,-21,1,0,0,0,-0,-0
Interest,0,1,1,2,6,1,2,3,3,5,6,5
Depreciation,4,5,5,3,2,1,1,1,1,1,1,0
Profit before tax,7,46,-13,38,-31,-6,-2,-3,2,2,1,-6
Tax %,-1%,-8%,23%,37%,40%,28%,37%,26%,9%,15%,-5%,8%
Net Profit,7,50,-10,24,-18,-4,-2,-2,2,2,1,-5
EPS in Rs,1.36,9.37,-1.97,4.52,-3.48,-0.82,-0.29,-0.39,0.37,0.30,0.24,-0.99
