,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,715,791,863,"1,106","1,205","1,401","1,282","1,329","1,593","1,708","1,864","2,201","2,311"
Expenses +,637,706,784,974,"1,075","1,232","1,093","1,139","1,386","1,460","1,574","1,923","2,067"
Operating Profit,78,86,80,133,131,170,189,191,207,248,290,278,244
OPM %,11%,11%,9%,12%,11%,12%,15%,14%,13%,15%,16%,13%,11%
Other Income +,22,4,7,2,23,14,25,15,81,22,7,5,6
Interest,13,24,34,43,41,37,30,25,19,16,20,23,26
Depreciation,14,18,26,37,42,48,49,58,66,74,87,89,99
Profit before tax,72,48,26,55,72,99,136,123,203,180,190,171,125
Tax %,33%,29%,15%,37%,24%,29%,25%,31%,33%,20%,26%,24%,
Net Profit,48,34,22,35,54,70,101,85,135,145,141,130,93
EPS in Rs,6.99,4.86,3.19,5.08,7.86,10.10,14.64,12.24,19.52,20.88,20.38,18.77,13.39
