,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,511","1,845","2,132","2,333","2,284","1,686","1,812","2,157","2,630","3,486","2,593","4,498","6,584"
Expenses +,"1,487","1,924","2,128","2,343","2,196","1,596","1,679","1,949","2,390","2,957","2,479","3,903","5,639"
Operating Profit,24,-79,5,-10,88,90,134,208,241,529,114,595,945
OPM %,2%,-4%,0%,-0%,4%,5%,7%,10%,9%,15%,4%,13%,14%
Other Income +,35,98,58,91,208,86,81,27,30,147,199,152,248
Interest,19,22,29,26,22,48,46,44,51,263,261,325,345
Depreciation,32,41,45,54,75,39,41,46,52,247,257,311,408
Profit before tax,8,-44,-10,1,200,90,128,147,168,165,-205,111,440
Tax %,70%,-7%,-262%,"1,357%",35%,39%,34%,41%,44%,36%,12%,69%,
Net Profit,3,-46,-27,-19,129,55,85,87,95,106,-181,35,287
EPS in Rs,0.37,-1.39,-0.81,-0.56,3.89,1.66,2.55,2.62,2.92,3.46,-4.11,2.98,10.22
