,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,252","1,407","1,469","1,547","1,669","1,661","1,529","1,599","1,811","1,596",494,985,"1,456"
Expenses +,"1,015","1,084","1,185","1,211","1,338","1,315","1,265","1,298","1,405","1,301",847,"1,030","1,184"
Operating Profit,237,324,284,336,331,345,263,300,406,295,-354,-45,273
OPM %,19%,23%,19%,22%,20%,21%,17%,19%,22%,18%,-72%,-5%,19%
Other Income +,67,45,3,34,28,41,61,121,8,73,49,111,94
Interest,169,70,72,53,46,28,18,23,50,56,41,35,35
Depreciation,117,130,141,135,168,133,128,117,133,146,129,124,126
Profit before tax,19,169,74,182,145,224,178,281,231,166,-476,-93,206
Tax %,168%,28%,37%,39%,54%,36%,34%,30%,36%,1%,21%,-2%,
Net Profit,-9,125,54,120,76,143,118,196,149,165,-375,-95,145
EPS in Rs,-0.08,1.96,0.67,1.71,1.01,2.10,1.65,2.87,2.10,2.38,-5.91,-1.56,2.24
