,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Sales +,403,434,526,643,72,1,0,1,0
Expenses +,295,384,469,600,74,5,3,3,14
Operating Profit,108,50,57,43,-2,-4,-3,-2,-14
OPM %,27%,12%,11%,7%,-3%,-759%,"-1,173%",-467%,"-8,844%"
Other Income +,1,5,9,8,5,3,2,2,2
Interest,4,10,14,18,18,19,21,24,27
Depreciation,2,13,7,46,62,47,34,41,40
Profit before tax,103,32,45,-13,-77,-68,-56,-65,-79
Tax %,38%,33%,38%,-24%,-0%,-0%,-6%,-0%,0%
Net Profit,64,22,28,-16,-77,-68,-59,-65,-79
EPS in Rs,,2.49,3.17,-0.81,-3.88,-3.43,-2.97,-3.27,-3.95
