,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,394","1,408","1,865","2,173","2,441","1,943","2,229","2,783","3,442","3,754","2,110","2,731","2,631"
Expenses +,"1,035",941,"1,316","1,571","1,823","1,499","1,809","2,263","2,769","2,639","1,435","1,842","2,035"
Operating Profit,360,467,549,603,617,444,420,520,673,"1,115",675,889,597
OPM %,26%,33%,29%,28%,25%,23%,19%,19%,20%,30%,32%,33%,23%
Other Income +,5,6,5,10,15,36,52,50,73,72,81,91,100
Interest,86,117,170,173,188,164,150,198,236,682,601,750,504
Depreciation,28,39,59,69,72,60,64,54,62,72,79,72,69
Profit before tax,251,318,324,370,372,257,258,317,448,433,75,158,123
Tax %,27%,34%,33%,37%,34%,46%,38%,32%,34%,35%,17%,26%,
Net Profit,185,210,217,234,244,138,161,217,297,282,62,117,81
EPS in Rs,18.49,21.00,22.15,23.97,24.27,14.08,16.69,22.87,31.31,29.70,6.57,12.32,8.58
