,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,055","2,255","2,819","3,106","3,035","3,217","3,556","3,535","3,826","4,099","5,078","5,921","5,968"
Expenses +,"1,765","2,059","2,525","2,735","2,645","2,819","3,109","3,064","3,274","3,445","4,239","4,939","5,113"
Operating Profit,291,196,293,371,390,398,447,471,552,654,839,982,855
OPM %,14%,9%,10%,12%,13%,12%,13%,13%,14%,16%,17%,17%,14%
Other Income +,20,39,46,2,7,9,3,5,4,9,-114,1,56
Interest,46,69,92,94,80,61,54,53,46,83,87,86,72
Depreciation,89,89,88,76,72,61,59,66,74,185,206,249,262
Profit before tax,175,76,159,203,244,286,337,358,436,394,432,647,577
Tax %,20%,18%,8%,5%,4%,9%,17%,9%,13%,14%,16%,17%,
Net Profit,140,62,146,193,234,261,279,327,378,340,362,537,482
EPS in Rs,3.22,1.44,2.23,2.92,3.52,3.87,4.11,4.76,5.47,4.90,5.20,7.69,6.91
