,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,644","2,715","2,801","2,904","2,802","2,975","2,494","3,239","3,474","3,025","3,597","4,337","4,332"
Expenses +,"2,558","2,598","2,829","2,773","2,728","2,825","2,341","2,986","3,237","2,942","3,419","4,012","4,002"
Operating Profit,86,117,-28,131,74,149,153,253,238,84,178,325,331
OPM %,3%,4%,-1%,5%,3%,5%,6%,8%,7%,3%,5%,8%,8%
Other Income +,203,105,116,60,60,42,63,25,23,49,20,6,4
Interest,71,111,162,127,76,56,55,48,60,41,39,65,52
Depreciation,34,45,51,54,53,57,63,65,71,72,71,66,65
Profit before tax,184,66,-125,10,5,79,98,164,130,19,87,200,217
Tax %,20%,14%,34%,39%,-9%,18%,14%,21%,52%,-229%,21%,36%,
Net Profit,147,57,-83,6,6,64,85,130,63,64,69,129,146
EPS in Rs,35.31,13.68,-20.02,1.47,1.43,15.48,20.38,31.17,15.19,15.35,16.56,30.96,35.05
