,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"7,639","9,902","9,034","10,053","11,306","11,481","10,031","11,083","13,225","13,137","14,182","19,111","25,142"
Expenses +,"6,546","8,794","8,264","9,246","10,450","10,712","9,048","9,822","11,775","11,400","12,193","16,954","22,477"
Operating Profit,"1,093","1,107",770,808,856,769,983,"1,261","1,450","1,737","1,989","2,156","2,665"
OPM %,14%,11%,9%,8%,8%,7%,10%,11%,11%,13%,14%,11%,11%
Other Income +,43,-10,68,46,50,87,54,55,8,35,76,141,192
Interest,89,126,210,240,210,221,224,178,251,235,106,75,120
Depreciation,62,60,71,96,105,106,101,99,114,158,173,173,179
Profit before tax,986,911,557,517,592,529,712,"1,038","1,093","1,379","1,786","2,050","2,558"
Tax %,30%,30%,22%,29%,32%,32%,33%,33%,34%,23%,26%,25%,
Net Profit,694,635,434,365,402,357,477,691,720,"1,065","1,329","1,528","1,911"
EPS in Rs,24.62,22.61,15.26,12.59,13.80,12.27,16.35,23.64,24.63,36.36,45.30,52.08,65.06
