,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"3,182","3,851","4,920","4,978","5,846","6,501","7,306","9,446","10,879","12,370","15,669","25,672"
Expenses +,"2,493","2,981","3,773","3,973","4,819","5,271","6,119","7,562","8,849","9,645","12,610","20,985"
Operating Profit,689,870,"1,147","1,005","1,028","1,230","1,187","1,883","2,029","2,725","3,058","4,688"
OPM %,22%,23%,23%,20%,18%,19%,16%,20%,19%,22%,20%,18%
Other Income +,10,22,217,99,187,187,426,302,329,274,467,591
Interest,34,21,31,10,6,3,16,11,83,79,73,112
Depreciation,105,123,130,158,174,178,156,147,273,332,355,582
Profit before tax,560,749,"1,204",936,"1,035","1,236","1,442","2,028","2,003","2,588","3,097","4,584"
Tax %,25%,25%,17%,18%,19%,21%,23%,25%,24%,25%,26%,
Net Profit,419,562,996,769,836,971,"1,112","1,516","1,520","1,938","2,298","3,462"
EPS in Rs,130.03,174.14,308.96,238.30,49.25,56.91,64.65,87.37,87.30,110.79,131.04,174.06
