,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Sales +,723,817,"1,014","1,341","1,465","1,751","2,149","2,668","3,328","2,331"
Expenses +,674,735,922,"1,231","1,314","1,585","1,916","2,414","3,057","2,236"
Operating Profit,49,81,93,110,151,166,233,254,271,94
OPM %,7%,10%,9%,8%,10%,9%,11%,10%,8%,4%
Other Income +,14,2,1,8,5,49,13,-37,2,698
Interest,40,18,23,37,53,86,94,106,120,69
Depreciation,17,20,23,31,32,32,40,46,49,45
Profit before tax,6,45,47,50,72,97,111,65,104,678
Tax %,47%,25%,20%,30%,26%,8%,20%,36%,33%,25%
Net Profit,3,34,38,35,53,89,88,42,70,510
EPS in Rs,1.10,10.91,12.12,11.33,17.03,25.23,25.03,11.58,17.36,126.46
