,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,193,207,251,283,322,341,333,309,328,321,301,343,371
Expenses +,127,145,192,197,252,240,231,194,215,225,220,222,231
Operating Profit,66,63,60,86,70,101,102,115,113,96,81,121,140
OPM %,34%,30%,24%,30%,22%,30%,31%,37%,34%,30%,27%,35%,38%
Other Income +,13,21,17,19,42,27,39,49,45,48,43,41,40
Interest,0,0,0,1,2,1,0,0,0,2,2,2,1
Depreciation,5,5,5,6,10,10,9,8,6,10,10,8,9
Profit before tax,74,79,72,98,100,118,132,157,152,131,112,152,170
Tax %,35%,32%,18%,30%,35%,35%,33%,35%,30%,26%,26%,25%,
Net Profit,48,54,59,69,66,76,89,101,106,97,83,114,124
EPS in Rs,48.11,54.01,59.16,68.93,65.45,76.24,89.29,101.68,109.21,99.66,84.61,116.35,126.70
