,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"3,135","3,980","4,596","4,687","5,733","6,017","5,918","6,322","7,334","7,315","8,048","9,512","9,622"
Expenses +,"2,747","3,495","3,970","3,939","4,863","4,966","4,759","5,185","6,009","5,846","6,459","7,831","7,884"
Operating Profit,388,485,626,748,870,"1,051","1,159","1,137","1,325","1,469","1,589","1,681","1,738"
OPM %,12%,12%,14%,16%,15%,17%,20%,18%,18%,20%,20%,18%,18%
Other Income +,101,30,70,58,59,93,96,85,103,95,107,98,82
Interest,41,42,58,34,23,21,17,16,40,50,34,39,46
Depreciation,71,73,87,77,84,95,90,89,131,140,139,139,146
Profit before tax,376,400,552,695,822,"1,029","1,149","1,117","1,257","1,374","1,523","1,601","1,628"
Tax %,23%,20%,26%,27%,29%,30%,29%,26%,10%,24%,21%,22%,
Net Profit,291,322,406,504,585,723,811,827,"1,131","1,043","1,199","1,255","1,258"
EPS in Rs,2.33,2.58,3.07,3.76,4.45,5.51,6.19,6.31,8.63,7.91,9.08,9.48,9.54
