,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,073","1,554","1,983","2,505","2,808","3,321","3,711","3,849","4,470","4,986","2,602","3,264","3,985"
Expenses +,917,"1,370","1,760","2,183","2,495","3,010","3,293","3,440","4,052","4,320","2,520","3,147","3,834"
Operating Profit,156,184,224,322,313,311,418,409,419,667,81,117,150
OPM %,14%,12%,11%,13%,11%,9%,11%,11%,9%,13%,3%,4%,4%
Other Income +,29,29,28,34,25,26,23,21,47,58,353,"6,170","6,352"
Interest,9,29,44,39,39,40,43,35,40,94,35,28,91
Depreciation,45,61,77,86,105,136,143,141,178,291,117,121,283
Profit before tax,130,122,131,231,193,160,255,254,247,339,282,"6,138","6,128"
Tax %,18%,13%,31%,27%,15%,37%,30%,22%,29%,39%,-19%,1%,
Net Profit,107,106,91,170,165,100,179,199,176,206,336,"6,104","6,123"
EPS in Rs,26.05,25.75,21.98,41.15,39.86,24.31,43.27,48.23,42.49,48.43,80.59,"1,460.35","1,464.76"
