,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,594","1,984","2,255","3,882","4,172",27,22,970,762,70,182,264,256
Expenses +,"1,476","1,900","2,184","3,739","4,169",8,21,943,737,148,71,201,245
Operating Profit,118,84,71,142,3,19,1,27,25,-78,111,63,11
OPM %,7%,4%,3%,4%,0%,72%,3%,3%,3%,-112%,61%,24%,4%
Other Income +,125,24,125,60,39,-208,497,54,31,42,198,416,790
Interest,26,41,33,60,100,0,0,2,23,7,5,5,6
Depreciation,31,33,33,44,74,0,0,2,4,28,26,23,21
Profit before tax,186,33,130,99,-132,-189,497,78,29,-71,279,450,774
Tax %,36%,29%,13%,21%,-22%,-2%,-11%,34%,-10%,20%,16%,20%,
Net Profit,119,24,114,78,-161,-192,551,52,32,-57,233,360,595
EPS in Rs,34.65,8.90,28.72,22.69,-28.92,-35.75,171.17,14.96,9.41,-15.64,66.36,102.60,169.92
