,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,TTM
Sales +,66,81,133,144,131,157,105,126,130,148,141,140,115
Expenses +,56,73,74,84,75,102,85,131,128,118,158,136,124
Operating Profit,10,8,59,60,56,55,20,-5,2,30,-17,4,-10
OPM %,15%,10%,45%,42%,43%,35%,19%,-4%,1%,20%,-12%,3%,-8%
Other Income +,15,53,3,7,3,1,5,16,13,7,32,7,2
Interest,6,9,7,6,4,3,3,3,4,5,11,15,14
Depreciation,4,5,5,6,7,7,9,10,12,18,18,15,14
Profit before tax,16,46,50,54,48,47,13,-2,-2,14,-14,-20,-36
Tax %,17%,29%,31%,28%,27%,34%,79%,-460%,-540%,73%,-28%,-5%,
Net Profit,13,33,34,39,35,30,3,-13,-12,4,-18,-20,-35
EPS in Rs,,,,,,3.90,0.35,-1.65,-1.54,0.49,-2.30,-2.63,-4.54
