,Mar 2006,Mar 2007,Mar 2008,Sep 2009,Sep 2010,Sep 2011,Sep 2012,Sep 2013,TTM
Sales +,219,390,401,521,357,390,450,653,833
Expenses +,164,310,326,435,291,312,352,510,662
Operating Profit,55,80,75,86,66,78,98,143,170
OPM %,25%,21%,19%,16%,19%,20%,22%,22%,20%
Other Income +,3,5,6,4,4,4,2,6,2
Interest,3,5,6,12,11,16,21,29,36
Depreciation,12,15,19,45,31,38,42,50,60
Profit before tax,41,66,55,34,28,28,37,69,77
Tax %,8%,9%,14%,30%,23%,27%,21%,26%,
Net Profit,38,60,47,24,22,20,29,51,55
EPS in Rs,18.79,28.28,22.02,13.78,9.38,8.48,12.03,18.94,20.76
