,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,129,156,179,208,204,210,201,201,231,285,370,421,429
Expenses +,108,136,162,192,188,190,179,182,202,232,302,354,367
Operating Profit,21,20,17,16,16,20,22,19,29,53,68,67,62
OPM %,16%,13%,9%,8%,8%,9%,11%,10%,13%,19%,18%,16%,15%
Other Income +,3,3,11,4,9,4,6,18,14,9,6,9,13
Interest,2,2,3,2,1,1,1,1,1,1,1,2,3
Depreciation,7,10,7,11,11,12,5,4,4,6,6,9,13
Profit before tax,16,10,17,7,12,11,23,32,38,55,67,65,60
Tax %,9%,41%,21%,32%,24%,39%,36%,44%,33%,22%,25%,26%,
Net Profit,14,6,14,5,9,7,15,18,25,43,50,49,46
EPS in Rs,7.12,3.15,6.38,2.57,4.02,3.00,6.88,8.52,12.65,21.36,25.01,22.94,21.68
