,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"5,740","5,914","6,273","6,518","7,093","7,354","8,656","10,401","12,164","12,968","14,109","15,368","17,144"
Expenses +,"4,724","5,280","5,604","5,593","5,913","5,961","6,864","8,361","9,255","10,209","10,895","12,024","13,346"
Operating Profit,"1,016",635,669,925,"1,179","1,393","1,792","2,039","2,909","2,759","3,214","3,344","3,797"
OPM %,18%,11%,11%,14%,17%,19%,21%,20%,24%,21%,23%,22%,22%
Other Income +,302,598,622,438,507,573,420,196,73,99,125,232,280
Interest,4,5,7,7,7,10,18,6,16,8,10,9,7
Depreciation,127,126,136,150,166,192,212,272,338,372,387,401,413
Profit before tax,"1,188","1,103","1,147","1,206","1,513","1,764","1,983","1,957","2,628","2,478","2,942","3,166","3,657"
Tax %,26%,23%,21%,21%,21%,24%,24%,28%,30%,28%,30%,26%,
Net Profit,878,847,911,952,"1,197","1,337","1,523","1,431","1,887","1,825","2,100","2,400","2,742"
EPS in Rs,1.11,1.07,1.15,1.20,1.51,1.69,2.07,1.96,2.58,2.50,2.87,3.28,3.75
