,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,238,245,264,311,320,326,308,311,435,365,406,688,591
Expenses +,218,226,242,287,298,295,280,285,379,320,328,558,463
Operating Profit,21,19,23,25,22,32,28,26,56,45,78,130,127
OPM %,9%,8%,9%,8%,7%,10%,9%,8%,13%,12%,19%,19%,22%
Other Income +,6,8,10,6,13,15,8,11,18,22,23,25,26
Interest,4,4,4,4,3,2,3,2,3,2,1,1,1
Depreciation,2,2,2,2,3,3,3,3,3,2,4,5,6
Profit before tax,20,20,26,24,28,42,31,33,68,62,97,149,146
Tax %,10%,23%,27%,27%,23%,21%,34%,38%,32%,27%,31%,29%,
Net Profit,18,16,19,18,22,33,21,20,46,45,67,106,103
EPS in Rs,1.50,1.22,1.50,1.37,1.70,2.61,1.68,1.62,4.32,4.23,5.50,9.65,9.35
