,Mar 2006,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,195,471,749,914,722,746,971,"1,117"
Expenses +,178,415,654,800,638,656,889,"1,006"
Operating Profit,17,56,95,113,84,90,82,111
OPM %,9%,12%,13%,12%,12%,12%,8%,10%
Other Income +,7,7,20,17,11,10,8,10
Interest,5,4,24,29,33,23,26,31
Depreciation,9,26,39,42,43,43,52,72
Profit before tax,9,33,52,59,19,34,11,18
Tax %,40%,38%,34%,39%,56%,15%,110%,
Net Profit,6,20,34,36,8,29,-1,2
EPS in Rs,,10.73,18.24,18.96,4.41,15.34,-0.59,1.11
