,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"6,770","7,909","9,299","10,279","12,036","11,122","4,374","5,844","6,597"
Expenses +,"6,206","7,341","8,716","9,398","10,978","10,306","4,743","6,512","6,685"
Operating Profit,564,568,582,881,"1,059",816,-369,-668,-89
OPM %,8%,7%,6%,9%,9%,7%,-8%,-11%,-1%
Other Income +,229,73,172,108,122,94,151,33,-807
Interest,475,-43,90,86,97,139,89,118,159
Depreciation,254,292,337,386,566,732,274,305,325
Profit before tax,63,392,327,516,519,39,-581,"-1,059","-1,379"
Tax %,73%,6%,4%,13%,17%,94%,-8%,-5%,
Net Profit,17,370,313,451,429,3,-629,"-1,107","-1,459"
EPS in Rs,16.06,353.36,254.29,36.57,31.54,0.01,-41.36,-72.64,-95.62
