,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,695,857,668,616,599,637,751,"1,087","1,343","1,156","1,227","1,630","1,937"
Expenses +,636,804,639,591,580,607,712,995,"1,245","1,065","1,108","1,478","1,764"
Operating Profit,59,53,29,25,19,31,39,92,98,92,119,151,172
OPM %,9%,6%,4%,4%,3%,5%,5%,8%,7%,8%,10%,9%,9%
Other Income +,6,5,5,5,12,10,8,8,10,4,15,15,41
Interest,5,7,10,10,13,14,16,14,12,15,12,14,11
Depreciation,7,13,14,15,10,11,12,12,12,13,14,15,17
Profit before tax,54,37,10,4,8,15,19,74,84,68,108,137,185
Tax %,26%,27%,39%,24%,35%,42%,27%,30%,33%,23%,26%,24%,
Net Profit,40,27,6,3,5,9,14,52,56,52,80,105,142
EPS in Rs,4.48,3.05,0.75,0.46,0.67,0.85,1.31,4.44,4.78,4.63,7.03,8.82,11.77
