,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"72,202","80,821","80,193","87,695","104,281","98,759","100,184","115,183","130,542","118,144","132,008","195,059","220,230"
Expenses +,"64,299","72,856","72,494","79,671","95,437","90,981","87,867","101,488","115,031","103,838","116,148","167,183","191,832"
Operating Profit,"7,903","7,965","7,699","8,024","8,844","7,778","12,317","13,695","15,511","14,306","15,860","27,876","28,398"
OPM %,11%,10%,10%,9%,8%,8%,12%,12%,12%,12%,12%,14%,13%
Other Income +,513,783,"1,111",677,-832,"1,500","1,198","2,879","1,127",906,712,"1,724","1,064"
Interest,"1,839","1,758","2,079","2,702","4,178","5,134","5,742","3,911","3,778","4,197","3,738","3,768","3,383"
Depreciation,"2,734","2,645","2,822","3,347","3,493","4,347","4,457","4,506","4,777","5,091","6,628","6,729","6,906"
Profit before tax,"3,843","4,345","3,909","2,653",340,-203,"3,315","8,157","8,083","5,924","6,206","19,103","19,173"
Tax %,25%,18%,23%,20%,75%,-245%,43%,25%,32%,36%,44%,28%,
Net Profit,"2,822","3,608","3,007","2,195",259,-702,"1,882","6,083","5,495","3,767","3,483","13,730","13,850"
EPS in Rs,12.83,17.74,15.81,10.53,4.14,-1.21,8.47,27.10,24.48,16.77,15.50,61.10,61.63
