,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"5,087","6,279","5,167","6,704","7,622","6,809","6,396","8,358","10,146","8,056","6,336","10,461","11,896"
Expenses +,"4,307","5,282","4,419","5,783","6,232","5,397","5,276","6,635","8,098","6,984","5,504","8,478","9,996"
Operating Profit,780,997,748,921,"1,390","1,413","1,121","1,723","2,048","1,072",832,"1,983","1,900"
OPM %,15%,16%,14%,14%,18%,21%,18%,21%,20%,13%,13%,19%,16%
Other Income +,65,91,94,298,226,148,391,46,199,109,-138,288,344
Interest,153,186,167,169,136,116,100,107,127,171,108,160,179
Depreciation,255,302,320,357,362,453,452,467,521,548,612,730,759
Profit before tax,437,600,355,693,"1,118",992,960,"1,196","1,599",462,-25,"1,381","1,306"
Tax %,32%,30%,43%,30%,32%,32%,26%,37%,35%,24%,-399%,22%,
Net Profit,297,420,202,482,760,675,711,754,"1,033",349,-127,"1,077",956
EPS in Rs,6.23,8.87,5.32,10.71,16.38,14.57,15.13,16.38,22.17,7.51,-2.71,23.23,20.77
