,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,209,220,277,308,131,88,100,124,162,172,73,132,182
Expenses +,191,207,266,305,95,75,95,116,147,153,66,113,157
Operating Profit,18,13,11,3,36,13,5,8,15,18,7,19,25
OPM %,9%,6%,4%,1%,27%,15%,5%,7%,9%,11%,9%,14%,14%
Other Income +,12,36,2,5,4,2,10,11,12,9,15,22,16
Interest,7,6,6,7,10,9,9,11,10,16,14,12,13
Depreciation,36,20,8,9,39,9,12,13,12,19,19,18,18
Profit before tax,-12,23,-0,-8,-9,-3,-6,-4,4,-8,-11,10,10
Tax %,-1%,28%,-372%,4%,6%,-4%,-20%,-5%,38%,-7%,-9%,39%,
Net Profit,-13,16,-1,-7,-9,-3,-8,-5,3,-8,-12,6,4
EPS in Rs,-4.27,7.28,-0.61,-3.25,-3.85,-1.38,-3.52,-2.19,1.14,-3.86,-5.45,2.75,1.74
