,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"5,018","6,408","7,724","8,807","9,696","8,004","2,688","8,909","10,926","13,135","13,900","14,644","15,704"
Expenses +,"3,983","4,774","5,422","5,991","6,542","7,029","2,377","4,490","5,147","6,588","6,807","7,210","7,792"
Operating Profit,"1,035","1,635","2,302","2,815","3,154",975,311,"4,419","5,778","6,547","7,093","7,434","7,912"
OPM %,21%,26%,30%,32%,33%,12%,12%,50%,53%,50%,51%,51%,50%
Other Income +,37,75,25,29,123,"1,538",1,0,21,1,60,92,153
Interest,646,"1,072","1,520","1,896","2,103",976,0,"2,655","3,587","4,592","4,608","4,328","4,617"
Depreciation,91,101,133,159,171,163,17,70,78,150,145,154,162
Profit before tax,335,536,674,789,"1,003","1,374",295,"1,695","2,135","1,806","2,400","3,044","3,286"
Tax %,33%,34%,32%,34%,32%,27%,30%,34%,34%,36%,27%,26%,
Net Profit,224,352,458,518,684,"1,181",538,"1,127","1,415","1,165","1,764","2,239","2,419"
EPS in Rs,10.55,14.43,15.45,16.66,22.68,55.47,24.26,29.32,37.12,29.34,43.93,54.49,58.81
