,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Sales +,197,214,236,288,366,446,476,484,501,616,846,993
Expenses +,175,183,205,245,308,361,390,393,405,499,682,736
Operating Profit,21,32,31,42,58,85,87,91,95,118,164,257
OPM %,11%,15%,13%,15%,16%,19%,18%,19%,19%,19%,19%,26%
Other Income +,6,6,2,3,1,2,2,3,3,4,6,26
Interest,12,12,10,12,13,12,10,8,8,8,15,10
Depreciation,7,9,9,9,10,10,11,13,14,16,23,27
Profit before tax,8,18,14,24,36,65,67,73,75,97,133,246
Tax %,33%,28%,24%,27%,33%,33%,32%,31%,31%,32%,35%,18%
Net Profit,6,13,14,18,24,43,45,50,52,66,86,201
EPS in Rs,1.10,2.51,2.74,3.45,4.75,8.48,8.85,9.81,10.16,12.94,16.88,39.47
