,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,405,434,754,908,921,"1,491","1,931","1,216","1,289","2,320","3,020"
Expenses +,341,374,623,727,758,"1,202","1,545","1,008","1,065","1,802","2,375"
Operating Profit,64,60,131,181,163,289,386,209,224,518,645
OPM %,16%,14%,17%,20%,18%,19%,20%,17%,17%,22%,21%
Other Income +,4,1,12,2,7,4,3,6,5,1,2
Interest,29,23,32,55,78,73,84,80,81,97,113
Depreciation,23,25,32,53,75,85,121,121,117,169,191
Profit before tax,16,13,79,75,17,135,184,15,32,253,343
Tax %,50%,35%,5%,27%,33%,30%,35%,34%,35%,22%,
Net Profit,8,8,75,55,11,95,120,10,21,198,264
EPS in Rs,0.83,0.65,5.49,3.81,0.78,5.82,7.36,0.59,1.29,12.36,16.46
