,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,179,251,303,414,558,622,642,711,748,721,548,694,825
Expenses +,177,224,277,377,508,569,598,661,688,661,521,684,804
Operating Profit,3,27,26,37,50,53,44,49,60,60,28,10,21
OPM %,2%,11%,9%,9%,9%,9%,7%,7%,8%,8%,5%,1%,3%
Other Income +,18,2,3,4,-1,-2,6,7,13,4,5,32,18
Interest,8,10,12,16,13,13,18,23,35,29,28,29,28
Depreciation,3,3,3,4,6,6,6,7,8,10,10,24,24
Profit before tax,10,16,14,21,30,32,26,26,29,26,-6,-11,-13
Tax %,34%,28%,30%,31%,28%,29%,31%,33%,33%,17%,-5%,-49%,
Net Profit,6,12,10,15,21,25,18,17,20,21,-6,-17,-20
EPS in Rs,6.74,10.94,9.17,13.12,18.73,21.09,15.37,14.34,16.23,17.43,-5.04,-13.54,-16.12
