,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"3,684","3,655","3,582","3,967","4,425","5,162","5,389","5,291","6,004","6,839"
Expenses +,"3,120","2,935","2,504","2,759","3,310","4,117","4,241","3,733","4,713","5,824"
Operating Profit,564,721,"1,077","1,208","1,115","1,046","1,149","1,558","1,291","1,015"
OPM %,15%,20%,30%,30%,25%,20%,21%,29%,22%,15%
Other Income +,63,85,75,40,32,25,34,30,28,29
Interest,189,196,184,105,61,53,73,88,113,161
Depreciation,306,251,305,286,294,300,317,357,402,436
Profit before tax,131,358,663,857,792,718,792,"1,144",803,446
Tax %,13%,32%,20%,24%,29%,29%,24%,33%,-11%,
Net Profit,114,247,545,664,566,511,605,784,882,306
EPS in Rs,4.81,10.34,22.90,27.84,23.95,21.68,25.65,33.22,37.30,12.96
