,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,068","1,193","1,273","1,318","1,345","1,211","1,672","1,766","1,634","1,612","1,844","2,603","2,828"
Expenses +,731,966,"1,018","1,031","1,104","1,088","1,159","1,333","1,361","1,523","1,507","1,793","2,136"
Operating Profit,337,227,255,287,241,123,513,432,272,89,338,810,691
OPM %,32%,19%,20%,22%,18%,10%,31%,24%,17%,6%,18%,31%,24%
Other Income +,9,6,-1,17,13,-1,48,27,-62,21,50,17,19
Interest,54,83,69,105,106,81,83,75,94,97,55,59,74
Depreciation,42,56,82,149,122,114,109,101,98,104,104,110,112
Profit before tax,250,94,102,50,26,-73,369,283,19,-91,228,658,525
Tax %,35%,34%,48%,30%,84%,40%,33%,34%,103%,27%,27%,23%,
Net Profit,162,62,53,35,4,-44,249,187,-1,-66,167,508,415
EPS in Rs,30.79,11.85,10.16,6.72,0.71,-8.47,46.10,34.46,-0.19,-12.31,30.84,94.01,76.91
