,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,318","1,517","1,702","1,737","1,895","1,926","2,024","2,124","2,362","2,257","2,092","2,730","3,046"
Expenses +,"1,181","1,355","1,563","1,580","1,736","1,691","1,789","1,882","2,146","1,973","1,836","2,506","2,786"
Operating Profit,137,161,140,157,159,235,235,242,216,284,256,224,260
OPM %,10%,11%,8%,9%,8%,12%,12%,11%,9%,13%,12%,8%,9%
Other Income +,3,1,0,3,2,8,8,10,20,21,18,18,20
Interest,31,41,45,43,32,21,14,16,18,29,26,31,33
Depreciation,35,43,48,52,57,55,51,50,52,94,97,101,108
Profit before tax,74,78,48,66,71,168,178,187,166,182,150,109,139
Tax %,27%,21%,20%,28%,28%,31%,30%,34%,29%,22%,25%,24%,
Net Profit,54,62,38,48,51,116,124,124,118,142,113,83,106
EPS in Rs,35.79,40.95,24.89,31.53,33.83,76.43,82.11,82.74,78.63,95.21,75.68,55.86,71.03
