,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Sep 2012,Mar 2013
Sales +,508,843,"1,219","1,614","1,966","2,351","4,061",946
Expenses +,442,711,973,"1,339","1,441","1,688","3,036",964
Operating Profit,66,132,246,275,525,663,"1,024",-18
OPM %,13%,16%,20%,17%,27%,28%,25%,-2%
Other Income +,1,2,23,95,3,0,141,-492
Interest,6,13,26,46,72,85,280,141
Depreciation,4,16,42,41,135,171,341,137
Profit before tax,57,105,201,283,322,406,545,-787
Tax %,14%,5%,7%,12%,28%,25%,22%,6%
Net Profit,48,100,187,250,232,306,427,-742
EPS in Rs,16.71,34.39,64.52,86.13,79.87,21.13,29.48,-51.14
