,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,87,115,159,198,262,299,149,257,315
Expenses +,62,80,114,137,194,211,109,208,262
Operating Profit,25,35,44,61,68,89,41,49,53
OPM %,29%,31%,28%,31%,26%,30%,27%,19%,17%
Other Income +,0,2,1,4,2,2,2,7,8
Interest,8,9,12,15,21,24,27,17,9
Depreciation,0,1,1,1,1,1,1,2,2
Profit before tax,17,27,32,48,48,65,14,38,49
Tax %,39%,38%,33%,35%,35%,37%,38%,34%,
Net Profit,10,17,22,31,31,41,9,25,32
EPS in Rs,10.56,6.66,7.14,9.47,8.70,11.06,2.46,5.90,7.50
