,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,277,326,327,380,409,413,432,497,600,618,605,768,868
Expenses +,236,267,274,319,333,335,346,400,494,521,505,655,731
Operating Profit,41,59,53,61,76,78,86,98,106,97,101,114,137
OPM %,15%,18%,16%,16%,19%,19%,20%,20%,18%,16%,17%,15%,16%
Other Income +,2,3,2,3,1,2,4,10,5,20,15,16,18
Interest,16,21,21,17,14,10,3,3,2,3,3,3,2
Depreciation,8,10,11,12,16,14,14,15,15,19,18,20,20
Profit before tax,20,30,24,35,46,56,73,91,94,95,94,107,133
Tax %,30%,23%,17%,14%,28%,24%,26%,30%,32%,21%,27%,26%,
Net Profit,14,23,20,30,33,42,54,64,64,76,69,79,98
EPS in Rs,0.54,1.03,0.87,1.34,1.47,1.86,2.39,2.81,2.82,3.35,3.04,3.47,4.33
