,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,696","2,187","2,285","2,277","2,470","1,894","1,927","2,558","3,529","3,244","2,660","4,446","5,412"
Expenses +,"1,474","1,980","2,212","2,252","2,319","1,729","1,662","2,175","2,912","2,778","2,143","3,793","4,726"
Operating Profit,222,207,73,25,151,165,265,383,616,465,517,653,686
OPM %,13%,9%,3%,1%,6%,9%,14%,15%,17%,14%,19%,15%,13%
Other Income +,21,11,9,22,14,16,12,23,20,28,19,28,37
Interest,44,68,72,80,95,72,51,41,37,46,34,29,34
Depreciation,39,49,52,55,58,62,61,61,66,92,110,121,131
Profit before tax,160,101,-42,-88,12,47,165,304,533,355,392,532,558
Tax %,30%,16%,47%,1%,14%,66%,58%,24%,28%,19%,20%,20%,
Net Profit,112,85,-22,-87,10,16,69,230,383,288,314,426,443
EPS in Rs,3.39,2.49,-0.63,-2.51,0.31,0.46,2.01,6.64,11.13,8.31,9.10,11.29,11.71
