,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,34,151,259,379,595,619,693,816,872,897,"1,242","1,464"
Expenses +,31,142,224,341,497,641,641,683,743,751,"1,113","1,286"
Operating Profit,3,9,36,38,98,-22,52,133,129,145,129,178
OPM %,9%,6%,14%,10%,16%,-4%,8%,16%,15%,16%,10%,12%
Other Income +,0,0,1,1,3,-332,1,27,22,13,13,10
Interest,0,0,1,3,6,16,17,15,8,6,5,5
Depreciation,1,2,2,5,11,17,3,3,11,12,16,21
Profit before tax,2,7,33,31,84,-387,33,142,131,141,122,162
Tax %,34%,28%,22%,18%,41%,-2%,2%,-4%,7%,25%,25%,
Net Profit,1,5,26,25,50,-395,32,147,122,105,92,122
EPS in Rs,0.70,2.65,12.27,10.25,19.48,-148.94,12.14,53.52,43.67,37.60,32.70,43.35
