,Mar 2011,Mar 2012,Jun 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,670","1,862","1,906",495,548,548,744,829,"1,202","1,208",583,329,296
Expenses +,"1,449","1,614","1,652",753,615,519,736,813,"1,139","1,149",641,366,418
Operating Profit,220,248,253,-258,-67,28,8,16,63,59,-58,-36,-122
OPM %,13%,13%,13%,-52%,-12%,5%,1%,2%,5%,5%,-10%,-11%,-41%
Other Income +,38,26,10,67,121,46,83,105,70,-15,12,-53,77
Interest,144,227,448,231,301,272,298,104,95,115,126,125,97
Depreciation,17,20,23,4,6,7,6,6,6,6,6,6,6
Profit before tax,98,28,-208,-426,-253,-204,-213,11,31,-77,-178,-221,-148
Tax %,28%,54%,21%,-3%,-0%,0%,35%,118%,3%,0%,-1%,-19%,
Net Profit,74,42,-269,-506,-266,-204,-137,-2,31,-77,-179,-264,-191
EPS in Rs,16.76,9.37,-60.60,-114.14,-30.76,-6.17,-1.47,-0.02,0.31,-0.80,-1.85,-2.71,-2.01
