,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"5,297","6,087","5,490","5,081","5,304","5,145","4,483","4,465","5,973","5,731","4,791","6,128","7,336"
Expenses +,"4,749","5,492","4,989","4,631","4,842","4,712","4,049","4,088","5,516","5,331","4,435","5,715","6,852"
Operating Profit,548,595,501,450,462,433,434,377,457,401,356,414,485
OPM %,10%,10%,9%,9%,9%,8%,10%,8%,8%,7%,7%,7%,7%
Other Income +,94,90,84,70,73,118,95,115,60,105,54,135,125
Interest,15,22,26,39,82,12,10,13,14,15,21,25,30
Depreciation,54,66,77,92,134,72,82,82,92,117,115,113,117
Profit before tax,573,596,481,389,319,467,438,397,410,375,275,410,463
Tax %,34%,34%,37%,44%,54%,31%,36%,42%,21%,43%,25%,24%,
Net Profit,377,392,304,220,148,282,216,231,325,212,207,312,350
EPS in Rs,32.03,33.86,26.87,20.64,17.60,23.69,18.72,19.48,27.31,17.83,17.34,26.21,29.39
