,Mar 2006,Mar 2007,Mar 2008,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015
Sales +,229,216,265,527,611,534,580,305,118
Expenses +,235,313,247,478,554,494,541,428,235
Operating Profit,-6,-97,17,49,57,40,39,-123,-117
OPM %,-3%,-45%,6%,9%,9%,7%,7%,-40%,-99%
Other Income +,2,106,2,3,1,2,3,2,2
Interest,17,5,5,8,14,21,30,39,39
Depreciation,1,1,1,4,6,9,11,10,9
Profit before tax,-23,3,13,40,37,12,1,-171,-162
Tax %,13%,13%,3%,24%,30%,75%,20%,0%,1%
Net Profit,-20,3,13,31,26,3,1,-171,-161
EPS in Rs,-11.43,1.49,7.51,17.98,15.28,1.76,0.46,-100.29,-94.19
