,Sep 2010,Sep 2011,Sep 2012,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"3,201","5,063","4,344","6,645","4,535","4,690","4,399","5,847","6,806","6,669","6,666","5,576","5,732"
Expenses +,"3,003","4,177","3,885","6,742","4,704","3,906","3,548","5,575","6,510","6,216","6,503","5,403","5,681"
Operating Profit,198,887,459,-97,-168,785,851,272,297,454,163,172,52
OPM %,6%,18%,11%,-1%,-4%,17%,19%,5%,4%,7%,2%,3%,1%
Other Income +,626,129,202,96,124,90,96,101,96,11,22,25,32
Interest,448,664,667,"1,129",889,848,802,680,322,301,264,254,186
Depreciation,344,323,362,556,258,242,243,197,204,216,216,215,214
Profit before tax,32,28,-368,"-1,686","-1,191",-216,-98,-505,-134,-52,-294,-272,-316
Tax %,-29%,24%,25%,-1%,-0%,2%,6%,1%,-2%,5%,1%,1%,
Net Profit,41,21,-321,"-1,626","-1,192",-212,-92,-500,-137,-50,-291,-268,-312
EPS in Rs,0.77,0.34,-5.01,-25.41,-14.72,-1.90,-0.81,-4.41,-1.20,-0.44,-2.57,-2.09,-2.44
