,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,627","1,909","2,096","2,477","2,586","2,331","2,403","2,326","2,497","2,877","2,525","2,688","3,277"
Expenses +,"1,350","1,582","1,769","2,111","2,219","2,006","2,149","2,065","2,094","2,284","1,984","2,054","2,497"
Operating Profit,277,328,327,367,367,324,254,260,403,592,541,633,781
OPM %,17%,17%,16%,15%,14%,14%,11%,11%,16%,21%,21%,24%,24%
Other Income +,22,28,29,12,32,37,47,73,79,107,119,114,97
Interest,14,32,27,29,19,10,4,2,1,30,31,34,32
Depreciation,44,67,93,91,108,107,98,98,99,155,141,145,152
Profit before tax,241,257,237,259,271,244,199,233,383,514,487,568,694
Tax %,31%,30%,28%,32%,33%,30%,31%,32%,32%,25%,23%,23%,
Net Profit,166,181,170,175,183,170,137,159,260,385,376,438,565
EPS in Rs,31.95,34.90,32.70,33.76,35.26,32.63,26.39,30.60,50.07,74.02,72.41,84.25,108.65
