,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,189,234,239,236,240,200,22,72,190
Expenses +,169,194,178,174,193,204,57,40,99
Operating Profit,20,40,61,63,47,-4,-35,32,91
OPM %,11%,17%,25%,26%,20%,-2%,-159%,45%,48%
Other Income +,2,5,0,1,6,1,24,3,568
Interest,115,111,121,128,134,152,163,188,148
Depreciation,80,88,95,93,102,243,96,91,91
Profit before tax,-172,-154,-154,-156,-182,-397,-269,-244,420
Tax %,38%,33%,23%,0%,-91%,0%,0%,0%,
Net Profit,-107,-104,-118,-156,-348,-397,-269,-244,420
EPS in Rs,-13.43,-13.00,-14.80,-17.75,-39.49,-45.13,-30.51,-27.60,2.24
