,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,287","2,910","3,119","3,718","4,217","4,595","3,757","3,697","3,578","3,464","1,749","2,519","3,812"
Expenses +,"2,158","2,806","3,022","3,583","3,948","4,415","3,629","3,546","3,332","2,912","1,705","2,249","3,195"
Operating Profit,129,104,97,135,269,180,128,151,246,552,44,270,617
OPM %,6%,4%,3%,4%,6%,4%,3%,4%,7%,16%,3%,11%,16%
Other Income +,5,7,5,4,13,28,18,232,18,24,224,194,53
Interest,30,42,55,65,78,85,86,38,14,197,223,207,207
Depreciation,47,61,79,98,125,130,119,115,141,450,392,355,370
Profit before tax,57,8,-31,-25,78,-7,-58,231,110,-72,-347,-98,93
Tax %,68%,415%,-72%,-105%,37%,-482%,-35%,8%,41%,-98%,23%,53%,
Net Profit,18,-24,-54,-50,49,-40,-78,214,65,-142,-267,-47,86
EPS in Rs,4.23,1.85,-1.09,-0.80,4.09,0.23,-3.59,22.34,5.94,-12.98,-24.43,-4.29,7.83
