,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,130","3,014","3,390","3,768","3,813","3,237","3,723","4,444","5,210","4,811","5,783","8,295","9,697"
Expenses +,"1,835","2,502","2,721","2,878","3,086","2,371","2,592","3,341","3,904","3,537","3,972","6,286","7,867"
Operating Profit,295,512,669,890,727,866,"1,131","1,103","1,306","1,274","1,811","2,009","1,830"
OPM %,14%,17%,20%,24%,19%,27%,30%,25%,25%,26%,31%,24%,19%
Other Income +,92,4,5,14,277,131,254,340,215,250,171,438,555
Interest,22,29,28,27,48,40,22,15,12,11,12,9,12
Depreciation,77,86,112,170,244,282,304,311,333,374,416,455,504
Profit before tax,288,400,534,706,713,674,"1,059","1,116","1,177","1,140","1,555","1,982","1,869"
Tax %,32%,33%,34%,33%,34%,34%,32%,34%,34%,16%,24%,28%,
Net Profit,195,269,350,475,473,446,717,736,774,960,"1,178","1,435","1,403"
EPS in Rs,10.06,13.91,18.10,24.55,24.45,23.06,37.08,38.06,40.02,49.64,60.91,74.25,72.57
