,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,176.75,239.29,330.40,246.02,306.60,300.78,203.28,77.77,17.00,8.14,0.41,0.49,0.54
Expenses +,162.09,223.08,300.65,276.05,308.29,306.49,204.75,79.78,18.34,9.74,1.85,2.05,2.02
Operating Profit,14.66,16.21,29.75,-30.03,-1.69,-5.71,-1.47,-2.01,-1.34,-1.60,-1.44,-1.56,-1.48
OPM %,8.29%,6.77%,9.00%,-12.21%,-0.55%,-1.90%,-0.72%,-2.58%,-7.88%,-19.66%,-351.22%,-318.37%,-274.07%
Other Income +,0.81,0.67,0.02,0.20,0.29,6.83,1.46,6.86,0.12,0.00,0.09,0.85,0.85
Interest,2.76,3.12,2.94,2.39,0.14,0.26,0.42,3.23,0.61,0.43,0.64,0.27,0.21
Depreciation,10.98,11.84,13.53,1.66,1.29,1.16,1.07,1.63,3.52,3.58,3.57,3.57,3.56
Profit before tax,1.73,1.92,13.30,-33.88,-2.83,-0.30,-1.50,-0.01,-5.35,-5.61,-5.56,-4.55,-4.40
Tax %,36.42%,34.38%,27.82%,1.51%,23.67%,110.00%,40.67%,"25,100.00%",-65.05%,41.18%,2.34%,9.45%,
Net Profit,1.10,1.25,9.60,-33.37,-2.16,0.02,-0.88,2.51,-8.83,-3.31,-5.43,-4.12,-3.90
EPS in Rs,0.02,0.02,0.03,-0.09,-0.01,0.00,-0.00,0.01,-0.02,-0.01,-0.01,-0.01,0.00
