,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"8,868","12,153","12,799","13,412","12,815","11,849","13,180","14,843","17,549","16,350","17,397","20,948","23,184"
Expenses +,"7,895","10,976","11,328","11,524","10,876","9,840","11,313","13,175","15,573","14,392","14,579","18,353","20,413"
Operating Profit,972,"1,177","1,471","1,888","1,939","2,008","1,867","1,668","1,976","1,958","2,818","2,595","2,771"
OPM %,11%,10%,11%,14%,15%,17%,14%,11%,11%,12%,16%,12%,12%
Other Income +,51,2,107,48,-31,110,148,114,-77,24,-478,118,71
Interest,204,297,323,293,189,101,118,177,199,300,463,465,486
Depreciation,272,326,397,411,388,427,462,593,813,"1,138","1,315","1,400","1,412"
Profit before tax,547,556,859,"1,232","1,331","1,591","1,436","1,012",888,543,561,848,944
Tax %,19%,26%,29%,18%,27%,29%,23%,28%,23%,12%,38%,25%,
Net Profit,440,410,612,"1,005",978,"1,123","1,099",724,680,476,350,639,722
EPS in Rs,8.73,8.13,12.15,19.94,19.21,22.06,21.59,12.65,11.88,8.33,5.51,10.06,11.37
