,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,0,"4,479","5,000","5,773","4,750","6,083","12,525","14,413"
Expenses +,0,"4,073","4,626","5,240","4,169","5,443","11,077","12,698"
Operating Profit,0,406,374,533,582,641,"1,449","1,714"
OPM %,,9%,7%,9%,12%,11%,12%,12%
Other Income +,0,41,55,62,40,26,127,108
Interest,0,77,62,56,34,52,75,60
Depreciation,0,149,154,162,185,251,349,347
Profit before tax,0,221,214,378,403,365,"1,152","1,415"
Tax %,,21%,27%,34%,22%,22%,14%,
Net Profit,0,174,156,251,313,286,991,"1,139"
EPS in Rs,,,7.86,12.81,16.31,14.28,39.85,44.73
