,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,858,642,835,"1,055","1,060",609,685,783
Expenses +,734,556,741,943,903,505,625,711
Operating Profit,124,87,94,113,157,103,60,71
OPM %,14%,13%,11%,11%,15%,17%,9%,9%
Other Income +,28,30,54,10,14,44,59,45
Interest,29,25,23,34,33,24,26,24
Depreciation,14,15,17,19,22,22,20,20
Profit before tax,109,77,108,70,117,101,73,72
Tax %,19%,16%,22%,29%,37%,31%,20%,
Net Profit,89,65,85,48,73,69,57,55
EPS in Rs,3.47,2.51,3.29,1.86,2.82,2.67,2.23,2.11
