,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"3,605","4,094","3,505","4,457","4,614","4,905","4,048","5,733","6,882"
Expenses +,"3,383","3,874","3,375","4,300","4,353","4,642","3,822","5,291","6,311"
Operating Profit,222,221,129,157,261,263,226,442,571
OPM %,6%,5%,4%,4%,6%,5%,6%,8%,8%
Other Income +,563,761,766,565,617,546,448,396,532
Interest,8,16,17,20,36,13,11,15,6
Depreciation,31,44,39,52,64,69,60,75,77
Profit before tax,746,922,839,650,778,727,604,749,"1,019"
Tax %,34%,39%,37%,39%,40%,48%,25%,25%,
Net Profit,516,596,585,496,532,471,514,611,813
EPS in Rs,,,,,,23.33,25.48,30.29,40.30
